iter	Passed	Remaining
0	1	187
1	3	180
2	5	168
3	6	155
4	8	152
5	9	148
6	10	145
7	12	142
8	13	140
9	15	139
10	16	137
11	18	135
12	19	133
13	21	131
14	22	129
15	24	127
16	25	125
17	27	123
18	28	121
19	30	122
20	32	121
21	33	119
22	35	117
23	36	115
24	38	114
25	39	112
26	40	110
27	42	109
28	43	107
29	45	105
30	46	104
31	48	102
32	49	101
33	51	99
34	52	98
35	54	96
36	55	94
37	57	93
38	59	92
39	60	91
40	62	89
41	62	86
42	64	85
43	65	83
44	67	82
45	68	80
46	70	78
47	71	77
48	73	76
49	74	74
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	82	65
56	84	63
57	85	62
58	87	60
59	88	59
60	90	57
61	91	56
62	93	54
63	94	53
64	96	51
65	97	50
66	99	48
67	100	47
68	102	45
69	103	44
70	104	42
71	106	41
72	107	39
73	109	38
74	110	36
75	112	35
76	113	33
77	114	32
78	116	30
79	118	29
80	119	28
81	120	26
82	122	25
83	123	23
84	125	22
85	126	20
86	127	19
87	129	17
88	131	16
89	133	14
90	134	13
91	136	11
92	137	10
93	139	8
94	140	7
95	141	5
96	143	4
97	144	2
98	146	1
99	147	0
